------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yyyy Filter LowFrequencyExtension -----------
Serial Number: TAS1E25150490
Start Time 13:15:00
Start Date 3/28/2018
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:18:42
Download Date 3/30/2018
Current Memory Address: 0
Current Battery Voltage: 4.12     Mode = 12
--------------------------------------------------
Axis1,Axis2,Axis3,vectormagnitude,timestamp
1165,2299,931,2740,2018-03-28 13:15:00
775,1242,465,1536,2018-03-28 13:16:00
437,794,404,992,2018-03-28 13:17:00
1058,2134,1101,2624,2018-03-28 13:18:00
4236,5222,3383,7527,2018-03-28 13:19:00
4056,4400,3755,7065,2018-03-28 13:20:00
4329,4660,3470,7245,2018-03-28 13:21:00
3991,3892,3223,6439,2018-03-28 13:22:00
4072,6590,4844,9136,2018-03-28 13:23:00
4518,4126,4699,7715,2018-03-28 13:24:00
3351,4490,3234,6469,2018-03-28 13:25:00
2626,3710,4380,6312,2018-03-28 13:26:00
2527,2722,3645,5204,2018-03-28 13:27:00
4633,5118,5284,8694,2018-03-28 13:28:00
3771,3978,3987,6778,2018-03-28 13:29:00
2060,1927,2073,3501,2018-03-28 13:30:00
532,447,283,750,2018-03-28 13:31:00
729,296,968,1247,2018-03-28 13:32:00
323,57,214,392,2018-03-28 13:33:00
505,625,524,959,2018-03-28 13:34:00
1617,807,1273,2211,2018-03-28 13:35:00
1003,586,938,1493,2018-03-28 13:36:00
934,609,778,1360,2018-03-28 13:37:00
733,734,610,1203,2018-03-28 13:38:00
2050,1015,1239,2602,2018-03-28 13:39:00
968,864,686,1468,2018-03-28 13:40:00
3112,2612,2992,5046,2018-03-28 13:41:00
162,190,49,254,2018-03-28 13:42:00
207,186,64,286,2018-03-28 13:43:00
179,128,25,221,2018-03-28 13:44:00
156,149,10,216,2018-03-28 13:45:00
239,232,40,335,2018-03-28 13:46:00
853,347,533,1064,2018-03-28 13:47:00
197,188,14,273,2018-03-28 13:48:00
233,183,62,303,2018-03-28 13:49:00
336,143,235,434,2018-03-28 13:50:00
438,31,263,512,2018-03-28 13:51:00
1792,2124,2128,3500,2018-03-28 13:52:00
568,344,755,1005,2018-03-28 13:53:00
498,219,472,720,2018-03-28 13:54:00
206,295,181,403,2018-03-28 13:55:00
176,123,28,217,2018-03-28 13:56:00
713,1403,1382,2094,2018-03-28 13:57:00
1082,770,1615,2091,2018-03-28 13:58:00
128,325,340,487,2018-03-28 13:59:00
1102,617,1224,1759,2018-03-28 14:00:00
772,771,1029,1500,2018-03-28 14:01:00
281,163,32,326,2018-03-28 14:02:00
180,211,24,278,2018-03-28 14:03:00
785,454,694,1142,2018-03-28 14:04:00
381,444,446,736,2018-03-28 14:05:00
327,310,465,647,2018-03-28 14:06:00
412,762,746,1143,2018-03-28 14:07:00
312,140,40,344,2018-03-28 14:08:00
985,715,1133,1663,2018-03-28 14:09:00
989,519,1089,1560,2018-03-28 14:10:00
446,190,447,659,2018-03-28 14:11:00
0,0,0,0,2018-03-28 14:12:00
2,0,17,17,2018-03-28 14:13:00
168,1,197,259,2018-03-28 14:14:00
2,0,60,60,2018-03-28 14:15:00
508,139,481,713,2018-03-28 14:16:00
70,38,0,80,2018-03-28 14:17:00
111,130,10,171,2018-03-28 14:18:00
1395,654,1361,2056,2018-03-28 14:19:00
2,0,5,5,2018-03-28 14:20:00
3,0,19,19,2018-03-28 14:21:00
39,0,3,39,2018-03-28 14:22:00
3,0,14,14,2018-03-28 14:23:00
1323,1269,1524,2384,2018-03-28 14:24:00
839,718,633,1273,2018-03-28 14:25:00
165,320,29,361,2018-03-28 14:26:00
222,451,58,506,2018-03-28 14:27:00
2639,2486,2392,4344,2018-03-28 14:28:00
617,387,508,888,2018-03-28 14:29:00
684,281,581,940,2018-03-28 14:30:00
31,46,28,62,2018-03-28 14:31:00
10,94,144,172,2018-03-28 14:32:00
49,2,30,57,2018-03-28 14:33:00
94,26,61,115,2018-03-28 14:34:00
846,370,425,1016,2018-03-28 14:35:00
1343,552,617,1578,2018-03-28 14:36:00
4575,5905,6813,10110,2018-03-28 14:37:00
5148,4089,6262,9079,2018-03-28 14:38:00
5686,5719,7659,11122,2018-03-28 14:39:00
3361,4938,4505,7482,2018-03-28 14:40:00
3758,3946,3432,6440,2018-03-28 14:41:00
3461,3358,4247,6426,2018-03-28 14:42:00
1853,5047,1971,5726,2018-03-28 14:43:00
1491,2846,2253,3924,2018-03-28 14:44:00
566,64,336,661,2018-03-28 14:45:00
610,468,729,1060,2018-03-28 14:46:00
150,470,88,501,2018-03-28 14:47:00
101,212,310,389,2018-03-28 14:48:00
3950,3754,3331,6387,2018-03-28 14:49:00
1830,1707,3820,4567,2018-03-28 14:50:00
2013,2287,2465,3919,2018-03-28 14:51:00
2948,2869,3483,5390,2018-03-28 14:52:00
387,306,359,610,2018-03-28 14:53:00
730,551,1150,1469,2018-03-28 14:54:00
108,18,16,111,2018-03-28 14:55:00
362,229,274,508,2018-03-28 14:56:00
2,0,26,26,2018-03-28 14:57:00
0,0,0,0,2018-03-28 14:58:00
1000,636,422,1258,2018-03-28 14:59:00
303,317,293,527,2018-03-28 15:00:00
934,504,897,1390,2018-03-28 15:01:00
3788,3479,4347,6734,2018-03-28 15:02:00
1301,1663,1808,2780,2018-03-28 15:03:00
1606,1068,1400,2383,2018-03-28 15:04:00
58,83,24,104,2018-03-28 15:05:00
717,661,633,1163,2018-03-28 15:06:00
3022,3300,3852,5904,2018-03-28 15:07:00
683,567,688,1123,2018-03-28 15:08:00
705,438,775,1136,2018-03-28 15:09:00
457,237,468,696,2018-03-28 15:10:00
274,210,179,389,2018-03-28 15:11:00
1061,974,880,1688,2018-03-28 15:12:00
370,310,227,533,2018-03-28 15:13:00
318,226,372,539,2018-03-28 15:14:00
620,418,561,935,2018-03-28 15:15:00
567,507,700,1034,2018-03-28 15:16:00
357,556,485,820,2018-03-28 15:17:00
2378,1884,2334,3828,2018-03-28 15:18:00
2636,3122,2436,4757,2018-03-28 15:19:00
312,283,376,565,2018-03-28 15:20:00
215,143,454,522,2018-03-28 15:21:00
1437,1124,1565,2404,2018-03-28 15:22:00
241,345,573,711,2018-03-28 15:23:00
1053,415,1220,1664,2018-03-28 15:24:00
98,42,37,113,2018-03-28 15:25:00
535,249,699,915,2018-03-28 15:26:00
765,478,808,1211,2018-03-28 15:27:00
918,550,773,1320,2018-03-28 15:28:00
391,262,94,480,2018-03-28 15:29:00
69,74,29,105,2018-03-28 15:30:00
385,349,450,687,2018-03-28 15:31:00
1489,1086,1330,2273,2018-03-28 15:32:00
1439,1905,1858,3025,2018-03-28 15:33:00
1867,2636,1485,3555,2018-03-28 15:34:00
1046,1569,1794,2603,2018-03-28 15:35:00
1876,2442,2759,4135,2018-03-28 15:36:00
2872,3555,3230,5596,2018-03-28 15:37:00
740,997,1174,1709,2018-03-28 15:38:00
273,334,116,447,2018-03-28 15:39:00
1154,1235,1959,2587,2018-03-28 15:40:00
982,1095,1238,1922,2018-03-28 15:41:00
1361,2244,1733,3145,2018-03-28 15:42:00
563,876,988,1435,2018-03-28 15:43:00
0,0,0,0,2018-03-28 15:44:00
0,0,0,0,2018-03-28 15:45:00
1,0,0,1,2018-03-28 15:46:00
0,0,0,0,2018-03-28 15:47:00
1296,1629,1448,2536,2018-03-28 15:48:00
3056,3159,5302,6887,2018-03-28 15:49:00
869,1479,1825,2505,2018-03-28 15:50:00
1305,660,1159,1866,2018-03-28 15:51:00
2059,2452,2216,3894,2018-03-28 15:52:00
339,449,231,608,2018-03-28 15:53:00
991,857,783,1526,2018-03-28 15:54:00
1649,2218,1989,3405,2018-03-28 15:55:00
6554,5811,4506,9850,2018-03-28 15:56:00
5345,5631,5838,9714,2018-03-28 15:57:00
2096,2948,4997,6169,2018-03-28 15:58:00
3644,3484,5604,7538,2018-03-28 15:59:00
2478,2881,3298,5032,2018-03-28 16:00:00
3226,2952,3020,5314,2018-03-28 16:01:00
3511,4262,4333,7019,2018-03-28 16:02:00
1062,738,1447,1941,2018-03-28 16:03:00
46,32,23,61,2018-03-28 16:04:00
214,276,647,735,2018-03-28 16:05:00
4271,5327,4083,7955,2018-03-28 16:06:00
1386,2760,1278,3342,2018-03-28 16:07:00
2033,2315,3253,4480,2018-03-28 16:08:00
1698,1614,3125,3906,2018-03-28 16:09:00
2656,3451,4316,6131,2018-03-28 16:10:00
2523,3180,3031,5066,2018-03-28 16:11:00
2120,1707,2490,3689,2018-03-28 16:12:00
3046,3544,4789,6691,2018-03-28 16:13:00
3262,3321,3522,5837,2018-03-28 16:14:00
2614,3519,2894,5253,2018-03-28 16:15:00
1594,1779,3372,4132,2018-03-28 16:16:00
2492,2722,2960,4731,2018-03-28 16:17:00
2045,3211,3133,4930,2018-03-28 16:18:00
1008,939,1165,1804,2018-03-28 16:19:00
2444,2437,2950,4540,2018-03-28 16:20:00
1522,2181,1336,2976,2018-03-28 16:21:00
4251,6957,7157,10849,2018-03-28 16:22:00
4486,5728,6687,9882,2018-03-28 16:23:00
4260,5291,6749,9576,2018-03-28 16:24:00
3899,3535,5520,7627,2018-03-28 16:25:00
3648,4976,5838,8494,2018-03-28 16:26:00
2675,3347,5345,6850,2018-03-28 16:27:00
4165,5184,5268,8484,2018-03-28 16:28:00
3657,3896,4024,6689,2018-03-28 16:29:00
597,797,1205,1563,2018-03-28 16:30:00
72,39,7,82,2018-03-28 16:31:00
418,372,418,698,2018-03-28 16:32:00
2046,1941,2690,3897,2018-03-28 16:33:00
4788,6585,4401,9255,2018-03-28 16:34:00
489,679,316,894,2018-03-28 16:35:00
617,709,238,970,2018-03-28 16:36:00
637,768,286,1038,2018-03-28 16:37:00
826,743,615,1270,2018-03-28 16:38:00
1641,1142,1993,2823,2018-03-28 16:39:00
1947,1764,1663,3109,2018-03-28 16:40:00
326,253,199,458,2018-03-28 16:41:00
1403,704,1798,2387,2018-03-28 16:42:00
979,451,738,1306,2018-03-28 16:43:00
542,149,534,775,2018-03-28 16:44:00
811,555,614,1159,2018-03-28 16:45:00
1868,563,1926,2742,2018-03-28 16:46:00
1188,181,817,1453,2018-03-28 16:47:00
380,285,800,930,2018-03-28 16:48:00
1453,659,840,1803,2018-03-28 16:49:00
87,73,89,144,2018-03-28 16:50:00
218,225,155,350,2018-03-28 16:51:00
269,269,40,383,2018-03-28 16:52:00
1841,1476,1688,2901,2018-03-28 16:53:00
754,701,1302,1660,2018-03-28 16:54:00
850,914,1447,1911,2018-03-28 16:55:00
627,393,1226,1432,2018-03-28 16:56:00
228,208,191,363,2018-03-28 16:57:00
523,547,668,1009,2018-03-28 16:58:00
945,981,1180,1802,2018-03-28 16:59:00
1275,1308,1543,2391,2018-03-28 17:00:00
478,354,1015,1176,2018-03-28 17:01:00
367,157,153,427,2018-03-28 17:02:00
264,253,111,382,2018-03-28 17:03:00
1100,925,718,1607,2018-03-28 17:04:00
154,94,92,203,2018-03-28 17:05:00
692,368,537,950,2018-03-28 17:06:00
960,410,846,1344,2018-03-28 17:07:00
1805,1175,1213,2472,2018-03-28 17:08:00
1112,467,2405,2690,2018-03-28 17:09:00
2735,3101,3037,5130,2018-03-28 17:10:00
1605,1761,2999,3830,2018-03-28 17:11:00
4097,5486,6527,9460,2018-03-28 17:12:00
1387,1499,1953,2826,2018-03-28 17:13:00
172,311,635,728,2018-03-28 17:14:00
242,73,95,270,2018-03-28 17:15:00
119,74,21,142,2018-03-28 17:16:00
157,57,29,170,2018-03-28 17:17:00
1115,478,634,1369,2018-03-28 17:18:00
1239,1006,1396,2120,2018-03-28 17:19:00
232,142,60,279,2018-03-28 17:20:00
438,113,381,591,2018-03-28 17:21:00
195,154,79,261,2018-03-28 17:22:00
782,296,604,1031,2018-03-28 17:23:00
