"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership"
68 2 1 1 1 70 2 1
69 1 1 7 5 23 1 1
69 2 2 7 5 20 2 1
69 3 2 7 5 3 7 1
69 4 1 7 5 44 5 1
69 5 2 7 5 42 5 1
70 1 2 1 1 48 1 1
70 2 1 1 1 53 2 1
70 3 2 1 1 13 3 1
71 1 1 1 1 72 1 1
71 2 2 1 1 55 2 1
72 1 2 1 1 47 1 1
72 2 1 1 1 18 3 1
72 3 2 1 1 17 3 1
72 4 1 1 1 37 11 1
73 1 1 1 1 58 1 1
73 2 1 1 1 52 11 1
74 1 1 1 1 66 1 1
74 2 1 1 1 59 7 1
75 1 2 1 1 71 1 1
75 2 1 1 1 75 2 1
76 1 1 1 1 76 1 1
76 2 2 1 1 70 2 1
77 1 1 1 1 86 1 1
77 2 2 1 1 68 2 1
78 1 1 1 1 52 1 2
78 2 2 6 1 47 2 2
78 3 1 8 1 9 3 2
79 1 2 1 1 66 1 1
79 2 1 1 1 70 2 1
80 1 1 1 1 75 1 1
80 2 2 1 1 72 2 1
80 3 1 1 1 45 3 1
81 1 2 7 2 38 1 2
81 2 1 7 2 11 3 2
82 1 2 1 1 71 1 1
82 2 1 1 1 45 3 1
83 1 1 1 1 27 1 2
83 2 1 1 1 27 11 2
84 1 2 2 1 69 1 1
84 2 1 2 1 68 2 1
84 3 1 2 1 51 3 1
84 4 1 2 1 44 3 1
85 1 2 2 1 57 1 1
85 2 2 2 1 23 3 1
86 1 1 1 1 29 1 2
86 2 2 1 1 28 2 2
87 1 2 1 1 36 1 2
87 2 1 1 1 17 3 2
87 3 1 1 1 15 3 2
87 4 1 1 1 2 3 2
87 5 1 1 1 36 11 2
88 1 1 1 1 41 1 1
88 2 2 1 1 42 2 1
88 3 2 1 1 13 3 1
88 4 1 1 1 9 3 1
89 1 1 1 1 81 1 1
89 2 2 1 1 72 2 1
90 1 2 1 2 24 1 2
90 2 1 1 2 6 3 2
90 3 2 1 2 5 3 2
90 4 2 1 2 1 3 2
91 1 1 7 2 43 1 2
91 2 2 1 1 31 2 2
91 3 2 1 1 4 3 2
91 4 1 7 2 45 7 2
91 5 1 7 2 36 7 2
92 1 2 1 1 70 1 1
92 2 1 1 1 78 2 1
93 1 1 1 1 53 1 1
93 2 2 1 1 53 2 1
94 1 1 1 2 44 1 1
94 2 2 1 1 46 2 1
94 3 2 1 2 17 3 1
94 4 1 1 2 15 3 1
94 5 2 1 2 12 3 1
95 1 1 8 1 79 1 2
95 2 2 8 1 70 2 2
96 1 2 1 1 52 1 1
96 2 1 1 1 54 2 1
96 3 2 1 1 29 3 1
96 4 1 1 1 25 3 1
96 5 1 1 1 20 3 1
97 1 2 1 1 42 1 1
97 2 1 1 1 50 2 1
97 3 1 1 1 17 3 1
97 4 2 1 1 3 3 1
97 5 2 1 1 46 7 1
98 1 1 1 3 50 1 1
98 2 1 1 1 55 11 1
99 1 1 1 5 57 1 1
99 2 2 1 5 54 2 1
99 3 2 1 5 20 3 1
100 1 1 1 1 56 1 1
100 2 2 1 1 56 2 1
101 1 1 1 1 61 1 1
101 2 2 1 1 57 2 1
102 1 1 1 1 52 1 1
102 2 2 1 1 52 2 1
102 3 1 1 1 23 3 1
102 4 2 1 1 17 3 1
103 1 2 1 1 40 1 1
103 2 1 1 1 14 3 1
103 3 1 1 1 39 11 1
104 1 1 1 1 81 1 1
104 2 2 1 1 84 2 1
105 1 1 6 1 50 1 1
105 2 2 6 1 46 2 1
106 1 1 1 1 50 1 1
106 2 2 1 1 47 2 1
107 1 1 1 1 71 1 1
107 2 2 1 1 64 2 1
108 1 1 1 1 47 1 1
108 2 2 1 1 25 3 1
108 3 2 1 1 3 9 1
108 4 1 2 1 29 12 1
109 1 1 1 1 30 1 2
109 2 2 1 1 29 11 2
110 1 1 1 1 58 1 1
110 2 2 1 1 55 2 1
111 1 1 1 1 36 1 2
111 2 2 1 1 29 2 2
111 3 1 1 1 3 3 2
111 4 1 1 1 12 3 2
112 1 1 1 1 35 1 1
112 2 2 1 1 27 2 1
112 3 1 1 1 8 3 1
112 4 1 1 1 7 3 1
112 5 2 1 1 5 3 1
113 1 1 8 2 55 1 1
113 2 2 8 2 53 2 1
113 3 1 1 2 25 3 1
113 4 2 1 2 22 3 1
113 5 1 8 2 87 6 1
113 6 2 1 2 76 6 1
114 1 2 1 1 41 1 2
114 2 1 1 1 48 2 2
114 3 1 1 1 4 3 2
115 1 2 1 1 62 1 1
115 2 1 1 1 69 2 1
116 1 2 1 3 36 1 2
116 2 1 1 5 41 2 2
116 3 2 1 3 16 3 2
116 4 2 1 5 5 3 2
116 5 2 1 5 18 3 2
117 1 1 1 1 36 1 1
117 2 2 1 1 40 2 1
117 3 2 1 1 7 3 1
118 1 2 1 1 72 1 1
118 2 1 1 1 79 2 1
119 1 1 1 1 33 1 1
119 2 1 1 1 6 3 1
120 1 1 1 1 38 1 1
120 2 2 1 1 41 2 1
120 3 1 1 1 14 3 1
120 4 2 1 1 13 3 1
120 5 1 1 1 10 3 1
120 6 1 1 1 6 3 1
121 1 2 1 1 57 1 1
121 2 1 1 1 56 2 1
121 3 2 1 1 30 3 1
121 4 1 1 1 28 3 1
122 1 1 1 1 54 1 1
122 2 2 1 1 49 2 1
122 3 2 1 1 18 3 1
122 4 2 1 1 6 3 1
123 1 1 1 1 88 1 1
123 2 2 1 1 82 2 1
124 1 2 1 1 60 1 1
124 2 1 1 1 59 2 1
125 1 1 1 1 75 1 1
125 2 2 1 1 64 2 1
126 1 2 1 2 61 1 1
126 2 1 1 2 26 3 1
127 1 2 1 1 34 1 2
127 2 1 1 1 15 3 2
127 3 2 1 1 10 3 2
128 1 1 1 1 70 1 1
128 2 2 1 1 71 2 1
129 1 2 1 1 72 1 1
129 2 1 1 1 73 2 1
130 1 1 1 1 30 1 1
130 2 2 1 1 30 2 1
131 1 1 1 1 33 1 1
131 2 2 1 1 34 2 1
131 3 1 1 1 16 3 1
132 1 2 2 1 51 1 1
132 2 1 2 1 54 2 1
132 3 1 2 1 13 3 1
133 1 1 1 1 35 1 1
133 2 2 1 1 35 2 1
133 3 1 1 1 16 3 1
133 4 2 1 1 14 3 1
133 5 1 1 1 10 3 1
134 1 2 1 1 59 1 1
134 2 1 1 1 59 2 1
135 1 1 1 1 52 1 1
135 2 2 1 1 51 2 1
135 3 1 1 1 15 3 1
135 4 1 1 1 12 3 1
136 1 1 1 1 68 1 1
136 2 2 1 1 64 2 1
137 1 1 1 1 71 1 1
137 2 2 1 1 71 2 1
138 1 1 2 1 49 1 2
138 2 2 2 1 44 2 2
139 1 1 1 1 33 1 1
139 2 2 1 1 32 2 1
139 3 2 1 1 4 3 1
139 4 1 1 1 2 3 1
140 1 2 1 5 42 1 1
140 2 1 1 5 35 2 1
140 3 2 1 5 7 3 1
141 1 2 6 1 44 1 1
141 2 1 6 1 50 2 1
141 3 1 6 1 18 3 1
141 4 2 6 1 15 3 1
141 5 1 6 1 13 3 1
141 6 2 6 1 72 6 1
142 1 1 1 1 37 1 1
142 2 2 1 1 35 2 1
142 3 1 1 1 13 3 1
142 4 2 1 1 12 3 1
143 1 2 1 1 51 1 1
143 2 1 1 1 29 12 1
144 1 2 1 1 49 1 2
144 2 2 1 1 16 3 2
144 3 1 1 1 14 3 2
145 1 1 1 1 31 1 2
145 2 2 9 2 5 3 2
145 3 1 9 2 3 3 2
146 1 1 1 1 26 1 1
146 2 2 1 1 26 2 1
