"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
72 2 NA NA 1 NA 2 1 NA 1 NA 66
72 3 2 NA 1 NA 3 1 NA 1 NA 66
73 2 1 1 1 38 3 1 NA 1 1 65
73 3 1 NA 1 67 12 1 NA 1 1 65
74 2 NA NA 1 33 2 2 NA 1 1 25
74 3 1 1 1 10 5 2 NA 1 1 25
74 4 1 1 1 7 NA 2 NA 1 1 25
75 2 2 NA NA 66 2 1 1 1 1 70
76 2 2 1 NA 29 2 NA 1 1 NA 29
76 3 1 1 1 4 3 NA 1 1 NA 29
76 4 2 1 1 NA 3 NA 1 1 NA 29
77 2 2 2 3 16 NA 2 2 NA NA 45
78 2 1 1 1 29 12 2 1 NA NA 29
79 2 2 6 NA NA 2 2 1 6 NA 31
79 3 NA 6 1 3 3 2 1 6 NA 31
80 2 2 1 1 NA NA 1 1 1 1 93
81 2 2 NA NA 11 NA 2 NA NA 2 35
81 3 2 1 5 7 NA 2 NA NA 2 35
82 2 NA NA 1 5 3 2 2 2 NA 34
82 3 1 2 1 1 3 2 2 2 NA 34
83 2 1 6 1 73 7 NA 1 NA NA 27
83 3 2 6 1 NA 7 NA 1 NA NA 27
83 4 2 6 1 27 NA NA 1 NA NA 27
84 2 2 1 1 50 2 NA 1 1 1 51
84 3 NA 1 NA NA NA NA 1 1 1 51
84 4 1 1 1 14 NA NA 1 1 1 51
85 2 2 1 1 NA 2 1 1 1 1 76
86 2 NA 2 1 76 NA NA 1 2 1 84
86 3 1 2 NA 73 NA NA 1 2 1 84
87 2 NA 8 1 15 3 1 2 1 NA 41
87 3 2 8 NA 8 3 1 2 1 NA 41
88 2 1 1 1 NA 2 2 NA 1 1 37
89 2 2 NA 1 NA 2 1 NA 1 1 59
90 2 1 NA 1 NA 2 1 2 NA NA 25
91 2 1 1 NA 59 2 1 2 1 NA 53
92 2 2 1 1 NA 2 1 NA 1 1 69
93 2 2 NA 1 34 2 2 1 NA NA 36
93 3 2 8 NA 18 3 2 1 NA NA 36
93 4 1 1 NA 7 3 2 1 NA NA 36
94 2 1 1 1 48 2 NA 2 1 NA 46
94 3 1 1 1 18 3 NA 2 1 NA 46
95 2 NA 1 1 NA 2 1 NA NA NA 68
96 2 1 1 1 NA NA 2 NA 1 1 55
97 2 NA NA 1 61 2 1 1 1 1 62
97 3 NA 1 NA NA 3 1 1 1 1 62
98 2 2 1 1 63 2 NA NA NA 1 65
98 3 1 1 1 25 NA NA NA NA 1 65
99 2 2 1 NA NA 2 1 1 NA 1 72
100 2 NA 7 NA 32 12 NA 1 1 1 43
101 2 2 NA 1 85 2 NA 1 1 1 80
102 2 2 1 NA NA 2 NA 1 1 1 54
103 2 NA 1 NA NA NA 2 1 1 1 28
103 3 NA 1 NA 2 3 2 1 1 1 28
104 2 2 1 1 NA 2 1 1 1 NA 60
104 3 2 1 1 6 8 1 1 1 NA 60
105 2 NA NA NA NA 2 2 1 1 1 49
105 3 1 1 1 7 3 2 1 1 1 49
106 2 NA 1 NA 17 NA 2 2 1 2 35
106 3 2 NA 2 12 3 2 2 1 2 35
107 2 NA 1 1 52 12 1 1 1 NA 52
108 2 2 1 1 NA 2 1 NA 1 NA 38
108 3 2 1 1 13 3 1 NA 1 NA 38
109 2 NA NA 1 NA NA 1 2 NA 1 50
110 2 1 2 1 69 2 1 2 NA 1 69
111 2 NA NA 1 NA 2 1 2 NA 1 53
111 3 2 1 1 34 3 1 2 NA 1 53
112 2 NA NA 1 29 12 2 2 NA 1 27
113 2 NA 1 NA 16 3 1 NA 1 1 45
113 3 NA NA 1 NA 3 1 NA 1 1 45
113 4 1 NA 1 56 12 1 NA 1 1 45
114 2 NA 8 1 16 3 2 NA 1 1 34
114 3 1 2 1 39 NA 2 NA 1 1 34
115 2 2 1 1 46 2 NA NA 1 NA 53
115 3 NA NA NA 17 3 NA NA 1 NA 53
116 2 2 1 1 NA 9 1 1 1 NA 40
116 3 2 1 1 38 11 1 1 1 NA 40
117 2 2 1 1 78 2 1 1 NA NA 77
118 2 NA 1 1 45 NA 1 1 1 1 80
119 2 2 1 NA NA 2 NA NA 2 1 67
120 2 NA NA 1 NA 2 1 2 1 1 82
121 2 1 1 1 NA 2 2 2 NA 1 30
