"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
1212 2 2 NA NA 2 3 2 NA 1 2 36
1212 3 2 1 NA 28 12 2 NA 1 2 36
1213 2 1 1 5 NA 3 1 2 1 5 50
1213 3 NA 1 5 16 3 1 2 1 5 50
1214 2 2 1 NA 30 12 2 1 1 1 38
1215 2 2 1 NA 29 NA 2 1 NA 1 29
1215 3 2 NA 1 5 NA 2 1 NA 1 29
1215 4 1 1 1 3 NA 2 1 NA 1 29
1216 2 2 NA NA 48 2 NA 1 1 1 45
1217 2 2 1 1 NA NA 1 1 NA 1 71
1218 2 NA NA NA 23 3 1 2 2 1 56
1218 3 2 2 NA 58 6 1 2 2 1 56
1219 2 2 1 NA 54 2 NA 1 1 1 54
1219 3 NA 1 1 NA 3 NA 1 1 1 54
1219 4 1 1 1 19 3 NA 1 1 1 54
1220 2 2 NA NA 63 NA NA 1 1 NA 65
1221 2 NA NA 1 28 2 NA 1 1 2 28
1221 3 2 1 2 2 3 NA 1 1 2 28
1222 2 NA 1 1 49 2 1 1 1 1 54
1222 3 2 NA NA 18 3 1 1 1 1 54
1223 2 1 2 NA NA 2 2 NA NA 1 66
1224 2 2 1 1 NA 2 NA 1 NA 1 58
1225 2 2 1 1 63 2 1 NA 1 1 61
1226 2 NA 1 NA 55 2 1 1 1 1 55
1227 2 1 NA NA NA 2 NA 2 1 1 55
1228 2 NA 1 1 NA 2 NA 2 1 1 58
1229 2 NA 1 NA NA 2 NA 2 1 1 43
1229 3 2 1 1 6 3 NA 2 1 1 43
1229 4 NA 1 NA NA 3 NA 2 1 1 43
1230 2 2 NA 2 NA 2 1 1 1 2 53
1230 3 2 NA 2 22 3 1 1 1 2 53
1231 2 NA 1 1 NA NA NA 1 1 1 43
1231 3 2 1 NA 7 NA NA 1 1 1 43
1231 4 NA NA 1 5 3 NA 1 1 1 43
1232 2 2 1 NA 9 NA 1 2 1 1 48
1232 3 1 1 1 NA 3 1 2 1 1 48
1233 2 NA NA NA 14 3 1 1 NA 1 43
1233 3 2 NA 1 11 NA 1 1 NA 1 43
1234 2 2 1 NA NA 2 NA NA 1 1 70
1235 2 1 NA NA NA 2 1 2 1 1 54
1235 3 NA 1 1 14 3 1 2 1 1 54
1236 2 2 1 1 NA NA NA 1 NA NA 82
1237 2 NA 1 1 50 NA NA NA 8 NA 67
1237 3 2 8 NA 15 NA NA NA 8 NA 67
1237 4 1 1 1 56 12 NA NA 8 NA 67
1238 2 1 1 NA 3 NA 2 2 1 1 30
1238 3 2 NA 1 NA NA 2 2 1 1 30
1239 2 NA NA 1 NA 7 1 2 1 1 43
1240 2 NA 2 1 22 NA 2 NA 1 1 21
1241 2 NA 1 NA 57 2 NA 1 1 1 57
1241 3 1 1 NA NA 3 NA 1 1 1 57
1241 4 2 1 1 94 NA NA 1 1 1 57
1242 2 1 NA 1 43 2 1 2 1 1 44
1242 3 1 1 1 5 3 1 2 1 1 44
1243 2 1 2 NA 49 3 1 1 2 NA 73
1243 3 2 2 NA 68 12 1 1 2 NA 73
1244 2 2 1 1 64 2 NA 1 NA 1 66
1245 2 2 1 NA NA 2 1 1 NA 1 56
1245 3 2 1 NA 17 3 1 1 NA 1 56
1246 2 NA NA 1 NA 2 1 NA 1 1 36
1246 3 1 NA 1 10 NA 1 NA 1 1 36
1246 4 1 1 1 6 NA 1 NA 1 1 36
1247 2 2 NA 1 NA NA 1 1 1 1 73
1248 2 1 NA NA NA 2 1 2 1 1 58
1249 2 2 NA 5 NA 2 1 1 1 NA 42
1249 3 NA NA NA 12 3 1 1 1 NA 42
1249 4 1 NA 5 9 NA 1 1 1 NA 42
1250 2 2 NA 1 54 2 1 1 1 1 53
1251 2 NA NA 1 9 NA 1 2 2 1 33
1252 2 2 NA 1 NA NA NA 1 1 NA 81
1253 2 1 1 5 NA NA NA 2 1 1 54
1254 2 2 1 1 18 8 NA NA NA 1 81
1254 3 NA 1 NA 44 11 NA NA NA 1 81
1255 2 1 1 1 37 2 NA 2 1 1 37
1255 3 1 1 1 6 3 NA 2 1 1 37
1255 4 1 NA NA 2 3 NA 2 1 1 37
1256 2 2 1 NA 31 NA 2 1 1 1 32
1257 2 1 NA 1 NA NA NA NA 2 NA 79
1258 2 2 NA NA 61 2 1 NA NA 1 65
1259 2 1 NA NA 41 2 1 2 1 NA 36
1260 2 NA 1 1 86 2 1 NA 1 1 91
1261 2 2 1 1 NA NA NA NA NA 1 58
1261 3 2 NA 1 30 NA NA NA NA 1 58
1261 4 1 NA 1 57 NA NA NA NA 1 58
1262 2 1 6 1 38 2 1 2 NA NA 34
1262 3 NA 6 1 4 NA 1 2 NA NA 34
1263 2 2 1 1 36 2 1 NA 1 1 34
1264 2 2 1 1 75 2 NA 1 1 1 76
1265 2 1 1 1 9 NA 1 NA 1 1 35
1265 3 NA 1 NA NA NA 1 NA 1 1 35
1266 2 2 1 NA 25 2 2 1 1 1 27
1267 2 NA NA 1 NA 2 NA NA 1 1 41
1267 3 1 1 1 13 3 NA NA 1 1 41
1267 4 NA NA 1 9 NA NA NA 1 1 41
1268 2 2 NA 1 NA 2 1 NA 1 1 56
1269 2 2 4 1 37 2 1 1 4 NA 39
1269 3 NA 4 1 4 3 1 1 4 NA 39
1270 2 2 NA 1 37 NA NA 1 1 1 37
1270 3 NA 1 1 8 NA NA 1 1 1 37
1270 4 1 1 1 4 3 NA 1 1 1 37
1271 2 2 1 1 68 2 1 NA 1 1 62
1272 2 NA 1 NA NA 2 1 1 1 NA 54
1273 2 1 1 1 52 6 2 1 NA 1 38
1274 2 1 NA 1 NA 3 2 2 NA 1 30
1275 2 2 4 NA 37 2 1 1 4 NA 37
1275 3 NA 4 NA 15 NA 1 1 4 NA 37
1275 4 1 4 1 35 NA 1 1 4 NA 37
1276 2 2 1 3 49 12 NA 1 NA 1 51
1277 2 1 NA NA 56 12 NA 2 1 1 62
1278 2 1 1 1 35 NA NA 2 NA 1 34
1278 3 NA 1 1 6 NA NA 2 NA 1 34
1279 2 1 NA NA 20 NA 2 2 NA 5 44
1279 3 2 1 5 19 3 2 2 NA 5 44
1280 2 1 1 1 47 3 NA 2 1 NA 86
1281 2 2 1 1 NA 2 1 1 1 1 86
1282 2 NA 1 NA 38 NA NA NA 1 NA 39
1282 3 1 1 NA 16 NA NA NA 1 NA 39
1282 4 1 1 1 13 NA NA NA 1 NA 39
1283 2 NA NA 4 59 2 2 NA NA 4 63
1284 2 2 8 1 62 2 1 1 8 1 62
1284 3 NA 8 1 30 3 1 1 8 1 62
1284 4 NA 8 1 24 3 1 1 8 1 62
1285 2 2 1 NA NA 2 1 1 1 NA 36
1285 3 NA 1 NA 8 3 1 1 1 NA 36
1285 4 2 1 1 4 3 1 1 1 NA 36
1286 2 2 1 1 NA 2 1 1 1 1 77
1287 2 2 1 NA 66 2 1 1 NA NA 72
1288 2 2 NA 1 30 13 1 1 1 1 28
1289 2 2 NA 1 32 2 1 1 NA 1 33
1289 3 1 1 1 2 NA 1 1 NA 1 33
1290 2 2 1 NA 19 3 NA 2 1 2 43
1290 3 1 1 NA 16 3 NA 2 1 2 43
1291 2 NA NA 1 61 12 NA 2 NA 1 60
1292 2 2 NA NA 59 NA 1 1 1 1 64
1293 2 1 1 1 78 NA 1 NA 1 1 74
1294 2 NA 1 1 NA 2 1 NA NA 1 81
1295 2 2 1 1 70 NA 1 NA NA 1 72
1295 3 NA 1 NA 38 3 1 NA NA 1 72
1296 2 2 2 NA 51 2 1 1 2 1 60
1296 3 NA 2 NA 12 3 1 1 2 1 60
1297 2 1 1 1 NA 2 2 2 1 1 54
1297 3 1 1 NA 21 3 2 2 1 1 54
1298 2 2 NA 1 69 12 NA 1 1 1 64
1299 2 2 NA 1 NA 2 1 NA 1 NA 46
1300 2 NA 1 1 NA 2 1 1 NA 1 62
1301 2 1 1 1 71 NA NA 2 1 1 70
1302 2 2 1 1 NA 3 1 NA 1 NA 56
1302 3 1 NA 1 45 12 1 NA 1 NA 56
1303 2 2 NA 5 NA 2 NA 1 1 NA 32
1303 3 1 8 3 2 3 NA 1 1 NA 32
1304 2 2 1 2 44 NA 2 1 NA NA 64
1304 3 2 NA 1 69 12 2 1 NA NA 64
1305 2 NA 1 1 70 2 1 2 1 1 55
1306 2 NA 2 1 NA 3 2 2 2 1 37
1306 3 1 2 NA NA 3 2 2 2 1 37
1307 2 NA NA 1 59 3 1 1 NA 1 81
1308 2 1 1 NA 37 NA 1 NA 1 1 35
1308 3 2 1 1 17 3 1 NA 1 1 35
1308 4 2 NA 1 14 3 1 NA 1 1 35
1309 2 NA 1 1 88 7 2 1 NA 1 55
1310 2 NA 1 NA NA 2 NA 1 1 NA 66
1311 2 1 1 NA 13 NA 1 2 NA NA 42
1311 3 1 1 1 44 12 1 2 NA NA 42
1312 2 NA NA 1 6 NA 2 2 NA NA 32
1313 2 NA 7 NA 24 NA 2 1 NA 2 25
1313 3 1 7 2 5 NA 2 1 NA 2 25
1314 2 NA 1 1 39 2 1 NA 1 1 42
1314 3 1 NA 1 4 NA 1 NA 1 1 42
1315 2 1 NA 1 63 NA 2 NA NA NA 61
1315 3 NA 1 1 69 6 2 NA NA NA 61
1316 2 2 2 1 2 NA 2 NA 2 NA 25
1316 3 NA 2 1 25 12 2 NA 2 NA 25
1317 2 1 1 1 54 3 1 2 1 1 95
1318 2 2 NA 1 NA NA 1 1 1 1 80
1319 2 1 1 NA NA 2 NA NA 1 1 52
1320 2 1 1 NA 19 NA 2 2 1 1 48
1321 2 NA 1 NA NA 2 NA NA 1 NA 39
1321 3 1 1 NA 10 3 NA NA 1 NA 39
1321 4 NA 1 1 7 3 NA NA 1 NA 39
1322 2 1 1 1 NA NA 1 2 1 1 71
1323 2 NA NA 1 38 2 1 NA NA NA 40
1323 3 2 1 1 20 3 1 NA NA NA 40
1323 4 1 NA 1 15 NA 1 NA NA NA 40
1324 2 1 1 1 73 2 NA 2 NA 1 69
1325 2 NA 1 1 39 2 1 1 1 1 47
1325 3 2 1 1 20 5 1 1 1 1 47
1326 2 1 1 NA NA NA 1 2 NA 1 75
1327 2 NA 2 1 37 2 1 1 2 1 39
1327 3 2 2 1 11 NA 1 1 2 1 39
1327 4 1 2 1 8 NA 1 1 2 1 39
1328 2 2 NA 1 76 2 NA 1 NA 1 79
1329 2 2 1 1 56 3 1 2 1 NA 80
1330 2 2 7 NA 33 2 NA NA NA 2 36
1330 3 1 7 NA 14 NA NA NA NA 2 36
1330 4 1 NA NA 11 3 NA NA NA 2 36
1331 2 NA NA NA 36 12 1 1 1 1 47
1332 2 1 2 1 44 2 NA 2 1 1 44
1333 2 2 1 1 66 3 1 1 1 1 94
1334 2 1 1 1 19 3 2 2 1 NA 44
1334 3 2 1 1 13 3 2 2 1 NA 44
1335 2 2 6 1 NA 2 NA 1 6 1 36
1335 3 1 6 1 2 3 NA 1 6 1 36
1336 2 2 NA NA NA 2 1 NA 1 1 52
1336 3 NA 1 1 NA 3 1 NA 1 1 52
1337 2 1 1 NA 4 3 1 1 1 NA 27
1338 2 2 1 1 74 NA NA NA 1 NA 82
1339 2 2 1 NA 50 2 NA 1 NA 1 55
1339 3 NA 1 1 NA NA NA 1 NA 1 55
1339 4 NA 1 1 16 3 NA 1 NA 1 55
1340 2 2 5 NA 39 2 NA NA 1 NA 38
1340 3 1 NA 1 4 NA NA NA 1 NA 38
1340 4 2 NA 1 1 NA NA NA 1 NA 38
1341 2 NA NA 1 NA 2 1 NA 1 1 63
1341 3 2 1 NA 27 3 1 NA 1 1 63
1342 2 2 NA NA 42 2 1 NA 1 1 47
1343 2 2 NA 3 75 2 1 NA 1 1 84
1344 2 1 1 1 84 2 NA 2 NA NA 68
1345 2 2 NA 1 43 2 1 1 NA NA 41
1345 3 1 1 1 17 NA 1 1 NA NA 41
1345 4 NA 1 NA 14 NA 1 1 NA NA 41
1346 2 1 NA 1 57 2 NA NA 1 1 56
1346 3 1 1 1 19 4 NA NA 1 1 56
1347 2 2 NA 1 57 2 2 1 NA 1 70
1348 2 NA NA NA 35 3 1 2 1 NA 65
1349 2 1 1 1 59 NA 1 2 1 1 57
1350 2 2 1 NA NA NA 1 1 NA 1 46
1350 3 1 1 NA 12 3 1 1 NA 1 46
1350 4 NA 1 NA 10 NA 1 1 NA 1 46
1351 2 NA NA 1 NA NA 2 2 1 1 41
1351 3 NA NA 1 NA 3 2 2 1 1 41
1351 4 1 1 1 26 12 2 2 1 1 41
1352 2 2 NA 1 65 2 1 1 1 1 63
1353 2 NA 1 1 61 11 NA 2 1 1 61
1354 2 1 NA 1 26 NA 2 1 NA NA 56
1354 3 2 7 1 21 8 2 1 NA NA 56
1354 4 2 7 NA 1 11 2 1 NA NA 56
1355 2 1 NA NA NA 2 1 2 NA 1 61
1355 3 1 1 1 29 5 1 2 NA 1 61
1356 2 NA NA NA 78 NA NA 1 1 NA 80
1357 2 NA 1 1 NA NA 1 2 1 1 34
1358 2 NA NA NA NA 2 2 1 1 5 50
1358 3 NA NA NA 16 3 2 1 1 5 50
1358 4 1 NA 5 13 3 2 1 1 5 50
1359 2 1 NA NA NA 2 1 2 1 NA 58
1360 2 1 1 1 24 12 NA 2 NA 1 24
1361 2 2 1 3 51 11 2 2 1 3 44
1362 2 1 NA 1 68 2 1 2 NA 1 66
1363 2 1 7 5 NA 2 1 2 NA 5 64
1364 2 NA 1 1 37 3 1 NA NA 1 56
1365 2 1 1 1 NA NA 2 NA 1 1 30
1365 3 1 1 1 1 3 2 NA 1 1 30
1366 2 NA NA NA NA 3 NA 2 3 1 66
1367 2 2 1 NA NA 2 1 1 1 1 56
1367 3 2 1 NA 27 3 1 1 1 1 56
1367 4 2 1 NA 14 3 1 1 1 1 56
1368 2 1 1 1 55 2 1 NA NA NA 54
1368 3 2 1 NA 27 3 1 NA NA NA 54
1368 4 2 1 NA 22 3 1 NA NA NA 54
1369 2 NA NA 1 22 3 1 2 2 1 52
1369 3 2 2 1 NA 3 1 2 2 1 52
1369 4 1 2 1 5 8 1 2 2 1 52
1370 2 2 1 NA NA 2 1 1 1 NA 74
1371 2 2 1 1 NA 2 1 1 NA NA 43
1372 2 2 1 1 NA NA 1 NA 1 1 74
1373 2 2 1 NA 25 12 1 1 1 1 28
1374 2 NA 1 1 NA NA 2 NA 1 1 34
1374 3 2 1 NA 17 3 2 NA 1 1 34
1374 4 1 NA 1 11 NA 2 NA 1 1 34
1375 2 2 NA 2 NA 2 NA 1 1 2 56
1375 3 NA NA 2 25 3 NA 1 1 2 56
1375 4 1 NA NA NA 3 NA 1 1 2 56
1376 2 2 1 1 NA NA NA 1 NA 1 79
1377 2 2 2 1 50 12 2 1 2 1 56
1378 2 NA 1 1 NA 2 NA NA 1 1 59
1379 2 1 1 1 54 2 1 2 1 1 50
1379 3 2 1 1 21 NA 1 2 1 1 50
1380 2 NA NA 1 22 12 2 2 NA NA 20
1381 2 NA NA 2 NA 2 NA 1 1 2 61
1381 3 2 1 2 38 3 NA 1 1 2 61
1381 4 1 1 2 29 3 NA 1 1 2 61
1382 2 1 NA NA 34 2 2 2 NA NA 33
1382 3 1 9 2 13 3 2 2 NA NA 33
1382 4 1 9 2 7 3 2 2 NA NA 33
1383 2 1 NA 1 75 NA 2 2 6 NA 81
1383 3 2 6 1 49 13 2 2 6 NA 81
1384 2 2 NA 1 42 2 2 1 1 NA 50
1384 3 NA 1 1 13 5 2 1 1 NA 50
1385 2 2 1 1 13 NA 2 1 NA 1 68
1386 2 2 NA NA NA 2 1 1 NA NA 50
1386 3 2 1 1 18 3 1 1 NA NA 50
1386 4 1 1 1 15 3 1 1 NA NA 50
1387 2 1 NA 1 NA NA NA 2 NA NA 70
1388 2 2 NA 1 NA 2 NA NA NA 1 57
1388 3 2 1 2 14 NA NA NA NA 1 57
1388 4 1 1 1 12 NA NA NA NA 1 57
1389 2 NA 8 NA 67 2 1 1 8 NA 62
1389 3 NA 1 1 27 8 1 1 8 NA 62
1390 2 1 NA 5 70 6 2 1 NA 5 78
1391 2 NA 1 1 NA NA 2 1 1 1 57
1391 3 1 1 NA 29 3 2 1 1 1 57
1391 4 2 NA 1 23 NA 2 1 1 1 57
1392 2 1 2 1 NA 2 1 2 2 1 84
1393 2 2 1 1 NA 2 1 NA NA 1 48
1394 2 2 2 1 52 2 1 NA 2 1 50
1395 2 2 1 1 NA 2 1 1 NA NA 70
1396 2 2 NA 1 11 3 1 2 NA 1 43
1396 3 NA 1 1 11 NA 1 2 NA 1 43
1397 2 NA NA 1 22 3 1 2 1 1 49
1397 3 2 1 NA 20 NA 1 2 1 1 49
1398 2 1 1 1 NA 2 NA NA 1 1 62
1399 2 2 1 NA 53 2 NA NA 1 1 56
1400 2 2 NA NA 21 3 1 NA 1 1 51
1401 2 1 1 1 NA 2 NA 2 1 1 41
1401 3 2 1 1 13 3 NA 2 1 1 41
1402 2 NA 1 NA NA 2 NA 1 1 NA 61
1402 3 2 1 NA 80 7 NA 1 1 NA 61
1403 2 NA 1 1 NA 2 1 NA 1 1 52
1403 3 NA 1 1 18 NA 1 NA 1 1 52
1403 4 NA NA NA NA 3 1 NA 1 1 52
1404 2 2 NA NA NA 2 1 NA NA 1 45
1404 3 2 1 1 NA 3 1 NA NA 1 45
1404 4 2 1 NA 9 4 1 NA NA 1 45
1405 2 NA 2 1 40 2 NA 2 2 NA 38
1405 3 NA 2 1 7 3 NA 2 2 NA 38
1406 2 2 1 NA NA NA 2 NA 1 1 59
1406 3 2 NA 1 NA 4 2 NA 1 1 59
1407 2 NA 1 NA NA 2 NA 1 3 1 64
1408 2 NA 4 NA 55 6 1 1 4 1 50
1408 3 NA 4 NA 66 12 1 1 4 1 50
1408 4 1 NA NA 34 12 1 1 4 1 50
1409 2 2 3 1 7 NA 1 2 3 NA 24
1410 2 1 1 1 NA 2 1 2 1 1 41
1410 3 NA 1 NA NA NA 1 2 1 1 41
1410 4 NA NA 1 3 NA 1 2 1 1 41
1411 2 2 1 1 7 3 2 1 1 1 29
1411 3 NA 1 1 26 12 2 1 1 1 29
1412 2 2 1 NA NA NA 1 2 1 1 39
1412 3 2 1 1 15 NA 1 2 1 1 39
1413 2 1 1 2 NA 2 NA NA 1 1 52
1414 2 2 NA 1 NA 2 1 1 1 1 62
1415 2 2 NA NA NA 2 NA 1 1 2 40
1415 3 1 NA 2 17 NA NA 1 1 2 40
1415 4 2 1 1 NA NA NA 1 1 2 40
1416 2 NA 1 NA NA 2 1 1 NA 1 57
1417 2 2 7 NA 29 NA NA NA 7 2 36
1417 3 2 NA 2 NA 3 NA NA 7 2 36
1417 4 NA 7 2 10 5 NA NA 7 2 36
1418 2 1 NA 1 75 NA 1 2 NA 1 75
1419 2 NA NA 1 11 3 2 2 2 1 33
1419 3 1 2 1 6 NA 2 2 2 1 33
1419 4 2 2 NA 57 7 2 2 2 1 33
1420 2 NA 1 1 38 2 1 NA 1 1 37
1420 3 1 1 1 6 NA 1 NA 1 1 37
1421 2 1 NA 1 NA 2 NA 2 1 1 65
1422 2 NA NA NA 4 NA 2 2 2 5 45
1423 2 2 NA NA 31 2 1 1 1 1 39
1423 3 NA NA NA 5 3 1 1 1 1 39
1423 4 1 1 1 NA 3 1 1 1 1 39
1424 2 1 NA NA 65 2 1 2 1 1 65
1425 2 1 1 1 NA 2 1 2 NA 1 53
1426 2 1 1 1 NA 2 1 2 1 1 44
1426 3 1 1 1 NA 3 1 2 1 1 44
1427 2 1 1 1 32 2 2 NA NA NA 26
1428 2 1 1 NA 71 NA 1 NA 1 1 69
1429 2 1 1 5 78 NA 1 2 1 NA 63
1429 3 1 1 NA 32 3 1 2 1 NA 63
1430 2 2 2 NA 51 2 NA 1 2 1 57
1431 2 2 1 NA NA 2 1 1 1 1 69
1432 2 NA 1 1 48 2 1 2 1 NA 44
1432 3 NA NA 1 NA NA 1 2 1 NA 44
1433 2 2 1 NA 56 2 1 NA 1 NA 57
1434 2 1 NA 1 NA 2 1 2 1 1 78
1435 2 1 1 1 NA 2 NA NA 1 1 45
1436 2 2 6 1 17 3 1 2 NA NA 58
1437 2 1 NA 1 24 NA 1 1 1 1 49
1437 3 2 NA 1 59 12 1 1 1 1 49
1438 2 NA 2 1 61 6 NA 2 2 NA 70
1439 2 2 NA 1 79 NA NA 1 1 NA 90
1440 2 1 1 1 44 2 1 NA 1 1 44
1440 3 NA 1 1 14 3 1 NA 1 1 44
1440 4 2 1 1 11 NA 1 NA 1 1 44
1441 2 1 NA 1 9 3 NA 2 2 NA 29
1441 3 NA 8 1 4 3 NA 2 2 NA 29
1441 4 1 8 1 1 3 NA 2 2 NA 29
1442 2 2 1 1 NA NA 1 1 1 1 70
1442 3 2 1 1 18 3 1 1 1 1 70
1443 2 2 1 1 61 2 NA NA NA NA 61
1444 2 2 1 1 94 NA 1 NA 1 1 94
1445 2 1 NA 1 24 3 NA 1 NA 1 51
1445 3 2 NA 1 79 7 NA 1 NA 1 51
1445 4 NA 2 1 53 11 NA 1 NA 1 51
1446 2 2 1 1 NA 2 NA 1 NA 1 55
1447 2 NA NA 1 39 12 NA 2 1 1 34
1447 3 NA 1 1 37 12 NA 2 1 1 34
1447 4 NA NA 1 34 12 NA 2 1 1 34
1448 2 NA 1 NA 20 3 2 2 1 1 53
1448 3 NA 1 NA 18 3 2 2 1 1 53
1448 4 NA 1 1 13 NA 2 2 1 1 53
1449 2 NA 2 NA 19 NA 1 NA 2 NA 54
1449 3 1 NA 1 62 12 1 NA 2 NA 54
1450 2 NA 1 1 32 2 NA 1 1 NA 33
1451 2 NA NA 1 NA 2 NA NA 2 1 58
1452 2 2 1 1 NA 2 1 1 1 NA 68
1453 2 2 NA 1 26 2 2 1 1 1 41
1454 2 NA NA 2 53 2 NA 1 1 2 58
1454 3 1 NA 2 32 3 NA 1 1 2 58
1455 2 2 NA 1 49 12 1 NA NA 1 48
1456 2 NA 1 1 NA 2 1 1 1 1 63
1457 2 1 NA 1 16 NA 2 2 NA 1 39
1457 3 1 1 1 NA 3 2 2 NA 1 39
1457 4 2 1 NA NA 3 2 2 NA 1 39
1458 2 1 2 NA 50 3 1 2 2 1 71
1459 2 NA 1 1 43 2 NA 1 1 1 47
1459 3 2 1 NA 9 3 NA 1 1 1 47
1459 4 1 1 NA 7 3 NA 1 1 1 47
1460 2 NA NA 1 NA 2 NA 1 1 1 59
1461 2 NA 1 1 NA 2 NA 1 1 1 44
1462 2 NA 1 1 2 NA 1 2 1 1 35
1462 3 1 1 1 45 NA 1 2 1 1 35
1463 2 2 1 1 70 2 NA 1 NA 1 64
1464 2 2 NA 1 51 2 1 1 NA 1 53
1464 3 2 1 1 NA 3 1 1 NA 1 53
1465 2 1 1 1 51 NA 1 1 NA 1 57
1466 2 NA NA 1 48 NA 1 1 NA 1 54
1466 3 NA NA NA 16 NA 1 1 NA 1 54
1467 2 2 8 NA NA 2 NA 1 1 1 72
1468 2 2 1 1 48 2 1 1 1 1 48
1468 3 NA 1 1 18 NA 1 1 1 1 48
1469 2 2 1 1 NA 2 1 NA NA 1 56
1470 2 2 1 1 NA 2 1 1 1 NA 71
1471 2 2 1 1 51 2 1 1 1 NA 51
1472 2 2 6 1 NA 2 1 1 NA 1 52
1472 3 NA 8 1 18 NA 1 1 NA 1 52
1473 2 NA NA 2 34 12 2 NA NA 1 37
1474 2 1 1 1 49 NA NA NA 1 1 51
1475 2 2 1 1 NA 2 NA 1 1 1 79
1476 2 1 1 NA NA NA 2 1 1 1 51
1476 3 1 NA 1 NA NA 2 1 1 1 51
1476 4 2 1 1 11 3 2 1 1 1 51
1477 2 1 NA 1 5 3 1 NA NA NA 28
1478 2 2 1 1 NA 2 1 1 1 1 88
1479 2 2 1 1 6 NA 1 NA 1 NA 42
1480 2 1 1 1 69 2 1 2 1 1 59
1481 2 1 NA 1 NA NA 1 2 NA NA 46
1482 2 1 1 2 60 3 1 NA 1 2 84
1483 2 1 1 1 19 3 1 2 1 1 56
1484 2 2 1 2 81 NA 1 1 NA 2 86
1485 2 1 1 NA 60 12 1 2 8 NA 64
1486 2 2 NA 1 NA NA NA NA NA NA 85
1487 2 NA 2 1 49 2 1 1 NA 1 60
1487 3 NA NA 1 NA NA 1 1 NA 1 60
1488 2 2 1 1 NA 2 NA NA 1 1 88
1489 2 1 NA NA NA NA NA 2 NA 1 64
1490 2 1 6 NA 23 12 NA 1 6 1 24
1491 2 NA 1 NA 55 2 1 1 NA 1 57
1491 3 NA NA 1 22 3 1 1 NA 1 57
1491 4 1 1 1 19 NA 1 1 NA 1 57
1492 2 NA 1 1 64 2 1 NA 1 NA 65
1493 2 NA NA 1 54 2 1 1 1 NA 54
1493 3 2 1 1 22 NA 1 1 1 NA 54
1493 4 1 1 1 20 3 1 1 1 NA 54
1494 2 1 1 NA NA 2 1 2 1 1 54
1495 2 2 1 NA 34 2 1 1 1 1 34
1496 2 NA NA 1 33 2 1 1 NA NA 38
1497 2 NA 1 NA 29 2 NA 2 1 1 32
1497 3 NA 1 1 1 3 NA 2 1 1 32
1498 2 2 NA 1 NA 2 NA 1 1 1 64
1498 3 2 NA NA 17 8 NA 1 1 1 64
1499 2 NA NA 1 50 2 NA 1 2 1 53
1499 3 NA 2 1 20 3 NA 1 2 1 53
1500 2 NA 1 NA 42 12 1 2 1 1 40
1501 2 1 1 1 NA 2 2 2 1 1 35
1501 3 2 1 NA NA 3 2 2 1 1 35
1502 2 2 4 1 88 2 1 1 4 1 94
1502 3 1 4 1 62 3 1 1 4 1 94
1503 2 NA NA NA NA NA 2 1 NA NA 46
1503 3 1 2 NA 12 3 2 1 NA NA 46
1504 2 NA 1 NA NA 2 NA NA 1 1 61
1505 2 1 NA 1 56 3 NA NA NA NA 90
1506 2 NA 1 1 58 NA 1 1 1 1 66
1507 2 1 2 1 19 NA 2 2 2 NA 40
1507 3 2 2 1 18 NA 2 2 2 NA 40
1508 2 NA 1 1 NA 2 1 1 1 NA 33
1508 3 NA 1 1 3 NA 1 1 1 NA 33
1508 4 1 1 NA 1 3 1 1 1 NA 33
1509 2 NA NA NA 41 2 1 1 1 NA 34
1510 2 NA 1 NA 13 3 2 NA NA 1 32
1510 3 2 1 1 11 NA 2 NA NA 1 32
1510 4 2 NA 1 30 12 2 NA NA 1 32
1511 2 NA 1 1 NA 3 NA 2 NA NA 49
1511 3 1 NA 1 NA NA NA 2 NA NA 49
1512 2 1 6 1 43 2 2 NA 6 NA 42
1512 3 NA 6 NA 21 NA 2 NA 6 NA 42
1512 4 1 6 1 18 3 2 NA 6 NA 42
1513 2 NA 1 1 64 12 1 1 1 1 75
1514 2 NA NA 1 62 NA 1 1 NA 1 70
1515 2 2 1 1 NA 2 NA 1 NA NA 31
1516 2 2 NA 1 31 12 1 NA NA 1 31
1516 3 NA NA NA 9 NA 1 NA NA 1 31
1516 4 1 8 1 8 13 1 NA NA 1 31
1517 2 NA 1 1 46 2 NA NA NA 1 55
1517 3 2 1 NA 18 5 NA NA NA 1 55
1518 2 2 6 NA NA 2 2 1 6 1 50
1518 3 NA 6 1 19 NA 2 1 6 1 50
1519 2 NA NA 1 61 2 NA NA 1 1 83
1520 2 2 NA NA 13 3 2 2 1 NA 33
1521 2 2 1 1 NA 2 1 1 NA 1 47
1521 3 2 1 NA 18 3 1 1 NA 1 47
1521 4 1 NA 1 14 3 1 1 NA 1 47
1522 2 NA 1 NA NA 2 2 NA 1 1 37
1522 3 1 1 NA 18 3 2 NA 1 1 37
1522 4 1 NA NA 7 NA 2 NA 1 1 37
1523 2 1 NA 1 NA 2 2 2 2 1 72
1524 2 2 1 NA NA NA NA 1 1 1 51
1525 2 NA NA NA 62 2 NA 1 1 1 68
1526 2 2 1 1 NA 2 1 NA 1 1 53
1526 3 1 1 1 NA NA 1 NA 1 1 53
