"id"	"sire"	"dam"	"sex"	"gen"	"birth"	"exit"	"age"
"Z4HGIR"	"YIAD2N"	"OY032S"	"F"	3	1999-05-07	2016-11-01	17.5
"1FRJ3E"	"4KWUTK"	"20MHR8"	"F"	3	1999-07-21	2017-01-03	17.5
"CN4GMN"	"QBLTI6"	"82IE3M"	"M"	3	1999-08-24	NA	19.8
"AXDMJM"	"L6D4ZC"	"43TUN9"	"F"	3	1999-11-09	NA	19.6
"MF8X1C"	"QR5CMP"	"NHE3Z8"	"F"	3	2000-02-08	2015-07-24	15.5
"ALAJPM"	"RNW63K"	"RJI1ET"	"F"	3	2000-03-08	2017-05-08	17.2
"J3D3N5"	"YIAD2N"	"RTTX6H"	"M"	3	2001-01-25	NA	18.4
"RSROMX"	"ZLPSUH"	"SFDEWY"	"F"	3	2002-02-14	2016-08-13	14.5
"KCOUSL"	"HBEMKY"	"67RZLW"	"F"	3	2002-11-12	2017-05-05	14.5
"BDI7N7"	"YIAD2N"	"ZP4LK3"	"F"	3	2003-01-30	2016-08-15	13.5
"Q444GQ"	"0NG81L"	"G9JAR8"	"F"	3	2004-10-08	NA	14.7
"IEHCFK"	"UFACXC"	"L8Q55X"	"M"	3	2004-09-12	2016-12-01	12.2
"SAAU6D"	"U0SIXT"	"V5L8XH"	"F"	3	2005-02-15	2016-08-01	11.5
"80EOVS"	"549AEC"	"RY6OPR"	"F"	3	2005-12-10	NA	13.5
"VFS0XB"	"T5KNUX"	"V8BAIX"	"M"	3	2006-01-27	NA	13.4
"CV1SHY"	"IZ0ELE"	"WHKS5E"	"F"	3	2006-04-24	NA	13.2
"9UAWP7"	"T5KNUX"	"CPYOEY"	"F"	3	2006-05-23	NA	13.1
"WMUJC5"	"H00H7D"	"NY9FEC"	"M"	3	2006-07-24	NA	12.9
"HP3E04"	"ZLPSUH"	"9FR6Q8"	"M"	3	2007-03-24	NA	12.2
"2KULR3"	"BCSR2N"	"BA0JYM"	"F"	3	2013-06-18	NA	6
"RI0O7F"	"V8VU31"	"HAQR9N"	"F"	3	2015-01-09	NA	4.4
"7M51X5"	"V8VU31"	"RRWDL5"	"F"	3	2015-01-30	NA	4.4
"170ZTZ"	"V8VU31"	"HFEQNK"	"F"	3	2015-02-07	NA	4.4
"Y7PPEZ"	"YRCQFO"	"Q0RGP7"	"U"	3	2015-03-10	2015-01-29	-0.1
"CFPEEU"	"YRCQFO"	"BD41WW"	"F"	3	2015-09-12	NA	3.8
"DZ3B9K"	"CQMWGX"	"RX08B3"	"M"	3	1988-10-27	2007-06-30	18.7
