"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1,1,0.967213114754098,1,1,0.983333333333333,0.983050847457627,0.984375,0.966101694915254,1,1,0.984126984126984,1,1,0.76271186440678,1,0.948275862068966,1,1,1,0.0689655172413793,1,0.0819672131147541,0.983050847457627,1,0,0.0333333333333333,0,0.032258064516129,0.0163934426229508,0,0,0,0.0338983050847458,0,0,0,0,0,0.0151515151515152,0.0178571428571429,0,0.0192307692307692,0,0,0,0,0,0.0327868852459016,0.0615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,1,0.969230769230769,1,1,0.984615384615385,0.985074626865672,0.985507246376812,0.96875,1,1,0.985507246376812,1,1,0.774193548387097,1,0.970588235294118,1,1,1,0.0634920634920635,1,0.0606060606060606,0.984375,1,0,0.0307692307692308,0,0.0144927536231884,0.015625,0,0,0,0.0285714285714286,0,0,0,0,0,0.0285714285714286,0.0163934426229508,0,0.0303030303030303,0,0,0,0,0,0.0289855072463768,0.028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.967213114754098,0.969230769230769,1,0.966666666666667,0.970149253731343,0.984375,1,0.954545454545455,1,0.964912280701754,0.968253968253968,1,0.96969696969697,0.969230769230769,0.790322580645161,0.96969696969697,0.967213114754098,0.984615384615385,1,1,0.142857142857143,0.985074626865672,0.140625,1,1,0.032258064516129,0.0806451612903226,0.0144927536231884,0.0746268656716418,0.0847457627118644,0.0163934426229508,0.03125,0.03125,0.0923076923076923,0.0161290322580645,0.0333333333333333,0.0142857142857143,0.0333333333333333,0.0172413793103448,0.072463768115942,0.0701754385964912,0.0163934426229508,0.0862068965517241,0.0161290322580645,0.032258064516129,0.032258064516129,0.032258064516129,0.0327868852459016,0.078125,0.0634920634920635,0,0,0,0,0,0.0298507462686567,0,0,0,0,0,0,0,0,0,0,0,0.0161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,1,0.966666666666667,1,1,0.983606557377049,0.983333333333333,0.984126984126984,0.96875,1,1,0.984848484848485,1,1,0.807017543859649,1,0.950819672131147,1,1,1,0.0847457627118644,1,0.0819672131147541,0.984126984126984,1,0.0166666666666667,0.05,0,0.0441176470588235,0.0338983050847458,0,0,0,0.0454545454545455,0,0,0,0,0,0.0303030303030303,0.0338983050847458,0.0151515151515152,0.0344827586206897,0,0,0,0,0,0.0303030303030303,0.0461538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,1,0.970149253731343,1,1,0.985507246376812,0.985074626865672,0.985714285714286,0.96969696969697,1,1,0.985915492957746,1,1,0.8125,1,0.954545454545455,1,1,1,0.107692307692308,1,0.102941176470588,0.985074626865672,1,0.0144927536231884,0.0606060606060606,0,0.0422535211267606,0.0454545454545455,0,0,0,0.0571428571428571,0,0,0,0,0,0.0416666666666667,0.05,0.0144927536231884,0.046875,0,0,0,0,0,0.0428571428571429,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.983333333333333,0.984615384615385,0.984375,0.983606557377049,0.985507246376812,1,1,1,0.984126984126984,0.983333333333333,0.985294117647059,0.985507246376812,0.983870967741935,1,0.790322580645161,0.984848484848485,0.983606557377049,1,1,0.984615384615385,0.0983606557377049,0.984848484848485,0.111111111111111,0.984375,0.983050847457627,0.0158730158730159,0.0461538461538462,0,0.0303030303030303,0.0491803278688525,0.0151515151515152,0.0163934426229508,0.0163934426229508,0.0447761194029851,0.0149253731343284,0,0,0,0.0181818181818182,0.0298507462686567,0.0338983050847458,0.0307692307692308,0.0178571428571429,0.015625,0.0158730158730159,0.0161290322580645,0.0161290322580645,0.0169491525423729,0.0454545454545455,0.0579710144927536,0,0,0,0,0,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.983050847457627,0.985074626865672,1,0.983333333333333,0.985074626865672,1,1,0.984848484848485,1,0.984375,0.984375,1,0.983870967741935,0.985714285714286,0.786885245901639,0.985294117647059,1,1,1,1,0.120689655172414,0.985294117647059,0.125,1,1,0.03125,0.0615384615384615,0,0.0461538461538462,0.0508474576271186,0.0153846153846154,0.0149253731343284,0.0163934426229508,0.0625,0.015625,0.0153846153846154,0,0.0163934426229508,0,0.0571428571428571,0.0350877192982456,0.0317460317460317,0.0666666666666667,0,0.015625,0.0158730158730159,0.0153846153846154,0.0161290322580645,0.0461538461538462,0.0615384615384615,0,0,0,0,0,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.984375,0.985507246376812,0.954545454545455,0.984126984126984,0.985714285714286,1,0.984848484848485,1,0.953846153846154,0.984848484848485,0.985714285714286,0.972222222222222,0.985294117647059,1,0.742424242424242,0.985915492957746,0.96969696969697,1,1,0.984375,0.104477611940299,0.985714285714286,0.117647058823529,0.96969696969697,0.984848484848485,0.0149253731343284,0.0579710144927536,0,0.0434782608695652,0.046875,0.0149253731343284,0.0151515151515152,0.0153846153846154,0.0571428571428571,0.0147058823529412,0,0,0,0.0163934426229508,0.0547945205479452,0.0327868852459016,0.0303030303030303,0.0476190476190476,0.0147058823529412,0.0147058823529412,0.0149253731343284,0.0147058823529412,0.0169491525423729,0.0434782608695652,0.0579710144927536,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.966101694915254,0.96875,1,0.96875,0.96969696969697,0.984126984126984,1,0.953846153846154,1,0.967213114754098,0.969230769230769,1,0.967741935483871,0.96875,0.783333333333333,0.969230769230769,0.951612903225806,0.984126984126984,1,1,0.152542372881356,0.984848484848485,0.15625,1,1,0.046875,0.0769230769230769,0.0151515151515152,0.078125,0.0819672131147541,0.0163934426229508,0.0327868852459016,0.0333333333333333,0.0923076923076923,0.015625,0.0338983050847458,0.0151515151515152,0.0338983050847458,0.0185185185185185,0.0746268656716418,0.0689655172413793,0.0317460317460317,0.0847457627118644,0.0158730158730159,0.0298507462686567,0.0317460317460317,0.0317460317460317,0.0350877192982456,0.0793650793650794,0.0793650793650794,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,1,0.964912280701754,1,1,0.983333333333333,0.984375,0.984848484848485,0.967213114754098,1,1,0.984848484848485,1,1,0.775862068965517,1,0.950819672131147,1,1,1,0.0833333333333333,1,0.112903225806452,0.984126984126984,1,0.0161290322580645,0.0634920634920635,0,0.0461538461538462,0.0508474576271186,0,0,0,0.0645161290322581,0,0,0,0,0,0.0454545454545455,0.0526315789473684,0.0158730158730159,0.0545454545454545,0,0,0,0,0,0.046875,0.0615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
